genomic_file_id,PATIENT_ID,sample_submitter_id,genomic_file_sample_id
SAMPLE_0054008-AT.mutect2.filtered.vep.PASS,DONOR-00001,DONOR-00001-01-DN-01-D,SAMPLE_0054008-SB
SAMPLE_0054008-AT.mutect2.filtered.vep.PASS,DONOR-00001,DONOR-00001-01-DT-01-D,SAMPLE_0054_008-AT
SAMPLE_0075010-C2T.mutect2.filtered.vep.PASS,DONOR-00002,DONOR-00002-01-DT-01-D,SAMPLE_0075_010-C2T
SAMPLE_0075010-C2T.mutect2.filtered.vep.PASS,DONOR-00002,DONOR-00002-01-DN-01-D,SAMPLE_0075010-SB
SAMPLE_0057011-AT.mutect2.filtered.vep.PASS,DONOR-00003,DONOR-00003-01-DT-01-D,SAMPLE_0057_011-AT
SAMPLE_0057011-AT.mutect2.filtered.vep.PASS,DONOR-00003,DONOR-00003-01-DN-01-D,SAMPLE_0057011-SB
SAMPLE_0095012-C2T.mutect2.filtered.vep.PASS,DONOR-00004,DONOR-00004-01-DT-01-D,SAMPLE_0095_012-C2T
SAMPLE_0095012-C2T.mutect2.filtered.vep.PASS,DONOR-00004,DONOR-00004-01-DN-01-D,SAMPLE_0095012-SB
SAMPLE_0083013-AT.mutect2.filtered.vep.PASS,DONOR-00005,DONOR-00005-01-DN-01-D,SAMPLE_0083013-SB
SAMPLE_0083013-AT.mutect2.filtered.vep.PASS,DONOR-00005,DONOR-00005-01-DT-01-D,SAMPLE_0083_013-AT
SAMPLE_0081014-ST.mutect2.filtered.vep.PASS,DONOR-00006,DONOR-00006-01-DT-01-D,SAMPLE_0081_014-ST
SAMPLE_0081014-ST.mutect2.filtered.vep.PASS,DONOR-00006,DONOR-00006-01-DN-01-D,SAMPLE_0081014-SB
SAMPLE_0085015-AT.mutect2.filtered.vep.PASS,DONOR-00007,DONOR-00007-01-DN-01-D,SAMPLE_0085015-SB
SAMPLE_0085015-AT.mutect2.filtered.vep.PASS,DONOR-00007,DONOR-00007-01-DT-01-D,SAMPLE_0085_015-AT
SAMPLE_0082018-AT.mutect2.filtered.vep.PASS,DONOR-00008,DONOR-00008-01-DN-01-D,SAMPLE_0082018-SB
SAMPLE_0082018-AT.mutect2.filtered.vep.PASS,DONOR-00008,DONOR-00008-01-DT-01-D,SAMPLE_0082_018-AT
SAMPLE_0090019-AT.mutect2.filtered.vep.PASS,DONOR-00009,DONOR-00009-01-DN-01-D,SAMPLE_0090019-SB
SAMPLE_0090019-AT.mutect2.filtered.vep.PASS,DONOR-00009,DONOR-00009-01-DT-01-D,SAMPLE_0090_019-AT
SAMPLE_0097020-AT.mutect2.filtered.vep.PASS,DONOR-00010,DONOR-00010-01-DT-01-D,SAMPLE_0097_020-AT
SAMPLE_0097020-AT.mutect2.filtered.vep.PASS,DONOR-00010,DONOR-00010-01-DN-01-D,SAMPLE_0097020-SB
SAMPLE_0092023-AT.mutect2.filtered.vep.PASS,DONOR-00011,DONOR-00011-01-DN-01-D,SAMPLE_0092023-SB
SAMPLE_0092023-AT.mutect2.filtered.vep.PASS,DONOR-00011,DONOR-00011-01-DT-01-D,SAMPLE_0092_023-AT
SAMPLE_0101025-AT.mutect2.filtered.vep.PASS,DONOR-00012,DONOR-00012-01-DN-01-D,SAMPLE_0101025-SB
SAMPLE_0101025-AT.mutect2.filtered.vep.PASS,DONOR-00012,DONOR-00012-01-DT-01-D,SAMPLE_0101_025-AT
SAMPLE_0087021-AT.mutect2.filtered.vep.PASS,DONOR-00013,DONOR-00013-01-DN-01-D,SAMPLE_0087021-SB
SAMPLE_0087021-AT.mutect2.filtered.vep.PASS,DONOR-00013,DONOR-00013-01-DT-01-D,SAMPLE_0087_021-AT
SAMPLE_0099024-ST.mutect2.filtered.vep.PASS,DONOR-00014,DONOR-00014-01-DN-01-D,SAMPLE_0099024-SB
SAMPLE_0099024-ST.mutect2.filtered.vep.PASS,DONOR-00014,DONOR-00014-01-DT-01-D,SAMPLE_0099_024-ST
SAMPLE_0063004-ST.mutect2.filtered.vep.PASS,DONOR-00015,DONOR-00015-01-DT-01-D,SAMPLE_0063_004-ST
SAMPLE_0063004-ST.mutect2.filtered.vep.PASS,DONOR-00015,DONOR-00015-01-DN-01-D,SAMPLE_0063004-C3B
SAMPLE_0014017-AT.mutect2.filtered.vep.PASS,DONOR-00016,DONOR-00016-01-DN-01-D,SAMPLE_0014017-SB
SAMPLE_0014017-AT.mutect2.filtered.vep.PASS,DONOR-00016,DONOR-00016-01-DT-01-D,SAMPLE_0014_017-AT
SAMPLE_0032018-ST.mutect2.filtered.vep.PASS,DONOR-00017,DONOR-00017-01-DT-01-D,SAMPLE_0032_018-ST
SAMPLE_0032018-ST.mutect2.filtered.vep.PASS,DONOR-00017,DONOR-00017-01-DN-01-D,SAMPLE_0032018-SB
SAMPLE_0039020-ST.mutect2.filtered.vep.PASS,DONOR-00018,DONOR-00018-01-DT-01-D,SAMPLE_0039_020-ST
SAMPLE_0039020-ST.mutect2.filtered.vep.PASS,DONOR-00018,DONOR-00018-01-DN-01-D,SAMPLE_0039020-SB
SAMPLE_0035023-AT.mutect2.filtered.vep.PASS,DONOR-00019,DONOR-00019-01-DT-01-D,SAMPLE_0035_023-AT
SAMPLE_0035023-AT.mutect2.filtered.vep.PASS,DONOR-00019,DONOR-00019-01-DN-01-D,SAMPLE_0035023-SB
SAMPLE_0058025-AT.mutect2.filtered.vep.PASS,DONOR-00020,DONOR-00020-01-DT-01-D,SAMPLE_0058_025-AT
SAMPLE_0058025-AT.mutect2.filtered.vep.PASS,DONOR-00020,DONOR-00020-01-DN-01-D,SAMPLE_0058025-SB
SAMPLE_0070002-ST.mutect2.filtered.vep.PASS,DONOR-00021,DONOR-00021-01-DN-01-D,SAMPLE_0070002-SB
SAMPLE_0070002-ST.mutect2.filtered.vep.PASS,DONOR-00021,DONOR-00021-01-DT-01-D,SAMPLE_0070_002-ST
SAMPLE_0055007-AT.mutect2.filtered.vep.PASS,DONOR-00022,DONOR-00022-01-DN-01-D,SAMPLE_0055007-SB
SAMPLE_0055007-AT.mutect2.filtered.vep.PASS,DONOR-00022,DONOR-00022-01-DT-01-D,SAMPLE_0055_007-AT
SAMPLE_0031008-EOT-T.mutect2.filtered.vep.PASS,DONOR-00023,DONOR-00023-01-DN-01-D,SAMPLE_0031008-SB
SAMPLE_0031008-EOT-T.mutect2.filtered.vep.PASS,DONOR-00023,DONOR-00023-01-DT-01-D,SAMPLE_0031_008-EOT-T
SAMPLE_0007013-ST.mutect2.filtered.vep.PASS,DONOR-00024,DONOR-00024-01-DN-01-D,SAMPLE_0007013-SB
SAMPLE_0007013-ST.mutect2.filtered.vep.PASS,DONOR-00024,DONOR-00024-01-DT-01-D,SAMPLE_0007_013-ST
SAMPLE_0030020-AT.mutect2.filtered.vep.PASS,DONOR-00025,DONOR-00025-01-DT-01-D,SAMPLE_0030_020-AT
SAMPLE_0030020-AT.mutect2.filtered.vep.PASS,DONOR-00025,DONOR-00025-01-DN-01-D,SAMPLE_0030020-SB
SAMPLE_0048022-AT.mutect2.filtered.vep.PASS,DONOR-00026,DONOR-00026-01-DN-01-D,SAMPLE_0048022-SB
SAMPLE_0048022-AT.mutect2.filtered.vep.PASS,DONOR-00026,DONOR-00026-01-DT-01-D,SAMPLE_0048_022-AT
SAMPLE_0038024-ST.mutect2.filtered.vep.PASS,DONOR-00027,DONOR-00027-01-DN-01-D,SAMPLE_0038024-SB
SAMPLE_0038024-ST.mutect2.filtered.vep.PASS,DONOR-00027,DONOR-00027-01-DT-01-D,SAMPLE_0038_024-ST
SAMPLE_0047032-ST.mutect2.filtered.vep.PASS,DONOR-00028,DONOR-00028-01-DN-01-D,SAMPLE_0047032-SB
SAMPLE_0047032-ST.mutect2.filtered.vep.PASS,DONOR-00028,DONOR-00028-01-DT-01-D,SAMPLE_0047_032-ST
SAMPLE_0086033-AT.mutect2.filtered.vep.PASS,DONOR-00029,DONOR-00029-01-DT-01-D,SAMPLE_0086_033-AT
SAMPLE_0086033-AT.mutect2.filtered.vep.PASS,DONOR-00029,DONOR-00029-01-DN-01-D,SAMPLE_0086033-SB
SAMPLE_0088034-ST.mutect2.filtered.vep.PASS,DONOR-00030,DONOR-00030-01-DT-01-D,SAMPLE_0088_034-ST
SAMPLE_0088034-ST.mutect2.filtered.vep.PASS,DONOR-00030,DONOR-00030-01-DN-01-D,SAMPLE_0088034-SB
SAMPLE_0089035-AT.mutect2.filtered.vep.PASS,DONOR-00031,DONOR-00031-01-DT-01-D,SAMPLE_0089_035-AT
SAMPLE_0089035-AT.mutect2.filtered.vep.PASS,DONOR-00031,DONOR-00031-01-DN-01-D,SAMPLE_0089035-SB
